epoch,train_loss,train_acc,val_loss,val_acc,time
1,5.7316,2.4,5.2347,4.97,100.81
2,4.7497,11.64,4.4581,16.55,101.38
3,4.0133,25.34,3.9066,28.75,101.54
4,3.4959,38.06,3.5302,37.0,99.46
5,3.1419,47.54,3.208,46.07,99.14
6,2.8617,54.71,2.9212,53.8,99.15
7,2.6406,61.01,2.7621,57.1,99.36
8,2.4626,65.59,2.8225,56.4,99.14
9,2.3089,69.88,2.6181,62.32,99.16
10,2.1836,73.6,2.5757,62.74,99.17
11,2.0848,76.22,2.503,65.09,99.35
12,1.9848,79.11,2.6378,61.75,98.72
13,1.9059,81.23,2.5822,63.11,98.77
14,1.8248,83.87,2.3871,67.97,98.76
15,1.7549,85.89,2.3473,68.91,99.36
16,1.6984,87.39,2.4462,66.16,99.36
17,1.6531,89.03,2.4175,67.41,99.18
18,1.6025,90.58,2.3315,70.05,99.16
19,1.5699,91.42,2.4055,67.45,99.15
20,1.5363,92.42,2.325,70.19,99.16
21,1.5049,93.46,2.3009,70.23,99.36
22,1.4742,94.46,2.3168,70.15,99.35
23,1.4583,94.76,2.3156,69.69,99.17
24,1.4369,95.3,2.2505,71.25,99.37
25,1.4104,96.08,2.2636,70.93,99.35
26,1.4054,96.13,2.2006,72.62,99.16
27,1.3895,96.58,2.3112,69.15,99.15
28,1.3775,96.84,2.2537,71.17,99.17
29,1.3663,97.08,2.2298,71.75,99.16
30,1.3607,97.05,2.2716,70.5,99.17
31,1.3515,97.29,2.2332,72.31,99.16
32,1.3401,97.56,2.27,70.62,99.37
33,1.3316,97.8,2.212,72.74,99.37
34,1.3272,97.8,2.2639,71.31,99.35
35,1.3198,97.92,2.2023,71.9,99.36
36,1.313,98.12,2.2202,72.1,99.17
37,1.3103,98.06,2.1959,72.64,99.16
38,1.3002,98.29,2.2167,71.83,99.17
39,1.2941,98.37,2.1567,73.31,99.36
40,1.2947,98.32,2.1754,72.97,99.36
41,1.288,98.45,2.2231,72.79,99.15
42,1.285,98.57,2.189,72.12,99.18
43,1.2783,98.55,2.3265,69.46,99.36
44,1.2695,98.82,2.1922,73.28,99.35
45,1.268,98.77,2.165,73.65,99.37
46,1.268,98.69,2.1742,73.08,99.37
47,1.2664,98.78,2.1808,72.35,99.36
48,1.2603,98.9,2.194,72.97,99.15
49,1.2585,98.83,2.1614,73.52,99.17
50,1.2525,98.98,2.1057,74.58,99.37
